card,title,desc,type
Seven of Wands,A New Level,All existing facts can be changed by your actions. But doing just for the sake of doing and morbid ambition will only harm you. It is of utmost importance to reach a new level and to. Use your power wisely and in a relaxed manner.,Minor Arcana
Eight of Wands,Greater Responsibility,Make sure that good vibrations exist between you and other people. Learn to understand what does you and others. Become more sensitive to the needs of all parties involved. Then you will be able to harmonize many different types of energy and accomplish many things without having to resort to manipulation.,Minor Arcana
Nine of Wands,Stalking,Your actual situation challenges you to become more vital and to live life to the fullest. Abandon your old fears and fulfill your most important wishes! Activate your senses! Learn to recognize outdated habits.,Minor Arcana
Ten of Wands,A Fulfilled Life,"Throw off your old burdens and wake up to what is actually going on. Only by giving your undivided attention and affection to someone or something will you be able to completely understand him, her or it. You have to go forward and commit yourself. This way, you will always be a step ahead.",Minor Arcana
Queen of Cups,The Voice of the Heart,"Take a walk along a river or lake. Meditate near the water. Embellish yourself and your surroundings. Show the beauty and costliness of your feelings. Open up your heart, but not to a witch.",Minor Arcana
King of Cups,Your Heart’s True Desire,"Be true to your desires. If you walk through a dark tunnel, take a light with you. Do not be afraid of confronting taboos and the dark side - but do not become too fascinated by them either! As you learn to deal with your dominant emotions, your true desires will become clear.",Minor Arcana
Knight of Cups,Living Faith,Avoid naivety as well as superstition. Question and examine. Identify what moves and supports you in the long term.  Do your sums and update your bookkeeping. Find a trustworthy conversation partner.,Minor Arcana
Page of Cups,Lightness of Heart,"Cleanse your psyche and evaluate your emotions. But do not dwell extensively on past mistakes, weaknesses, and fears. Balance your emotional account. Settle your own debts and ask others to settle theirs - financially, but more importantly, emotionally and spiritually.",Minor Arcana
Ace of Cups,Inner Life,This is not the time for great promises or expectations but for personal integrity. Settle all problems that dull your feelings. Clear your emotions and take your own cup into your own hands.,Minor Arcana
Two of Cups,Your Emotional Range,The validity of your feelings should not depend on the approval or disapproval of others. Avoid false compromises in emotional and intimate matters.  It is of utmost importance that you learn to deal purposefully with your emotional needs and feelings.,Minor Arcana
Three of Cups,Understanding your own Emotions,"Develop your emotional vocabulary. Learn to appreciate the feelings of others. Express your own feelings with gusto. Don’t be afraid of emotional reactions. Approach others, or keep them at a distance, defining your own boundaries - even if you may be unaccustomed to this. The right word at the right time can make miracles come true.",Minor Arcana
Four of Cups,Your own Personal Motivation,Explore your feelings. Relax and allow your spirit to float. Defined your boundaries. It is in deep meditation and in silence that you will find the right words to express your previously mute emotions and experiences.,Minor Arcana
Five of Cups,A Spiritual Opening - Open to New Feelings,"Take note of what aspect of the card attracts you most. Reconciliation or separation, setting out or staying put: these are all possibilities. Water treatments, baths, and showers can help you to open up emotionally. Do not run away from your own feelings. That is the moment of truth. The long-awaited new beginning.",Minor Arcana
Six of Cups,Back to the Future,Dig up your memories until you can busy old feuds. Talk to your “inner child.” Leave your childish behavior behind and do what you as a groun-up have wanted to do for a long time.,Minor Arcana
Seven of Cups,Live your Dream,"Examine your fears and follow those desires that contain the most energy. Judging by the fruit of your desire, you will realize what is right and what is wrong. Create and live according to you own set of rules - especially in matters of the heart and in regard to your most intimate desires.",Minor Arcana
Eight of Cups,On the Journey to Personal Destiny,Feel and trust your inner flow. Be aware of your own personal rhythm and make it an integral part of daily life. Feast and fast - there is time for everything.,Minor Arcana
Nine of Cups,Emotional Merry-Go-Round,Learn to go with the flow and to swim against the current if necessary. Write yourself a “letter of intent” stating your goals for the next nine weeks. Write down (nine) important desires or fears. Establish specific goals for your personal growth and well-being.,Minor Arcana
Ten of Cups,Intense Feelings,"Don’t be afraid of “oceanic feelings.” This is the perfect opportunity to take a fearless look at powerful and bold passions. The more you learn to asses the degree to which you can truly trust yourself and others, the more secure you will feel. This is a test of your self-awareness and knowledge of human nature.",Minor Arcana
Queen of Swords,Conscious Living,"Ensure clarity in your decisions and your behavior. If necessary, use a magnifying glass or a pair of binoculars to look at your concerns from all possible angles. Refine love, longing, and passion. This is a card of release from your fears and of new opening in matters of the heart.",Minor Arcana
King of Swords,Knowledge and Breadth,"Try to understand what it is that you do not know about yourself and others - and what you cannot know. Make sure you understand your most important needs and expectations. In order to achieve this end, it is most helpful to have all the mirrors of your mind well-polished and to know your own star!",Minor Arcana
Knight of Swords,Personal Consequences,Take your thoughts further than usual. Risk greater commitment and be more consequential and steadfast.  Leave old thought patterns behind. Take your thoughts seriously and interpret them like dreams.,Minor Arcana
Page of Swords,Mental Agility,"Take things more “lightly.” Take the “sword” into your own hands. Do not delegate your power of discernment to others. The value of a new idea cannot be duped by that which is, but only by that which will be. You might sense that the little bit that man can comprehend is much smaller than that which is. It makes a big different whether or not you comprehend your individual contribution and put your abilities to good use in order to make life easier, more deliberate, and more fun for yourself and for your fellow human beings.",Minor Arcana
Ace of Swords,The Crowning Achievement of the Mind,Rise and stand up straight! Gain strength from your knowledge and delve into everything you don’t yet know. You possess and you will need clear reasoning and staying power. Brain jogging and physical exercise will support your mental facilities. Enjoy your newfound clarity!,Minor Arcana
Two of Swords,New Insights,Do not become entrenched in uncertainty. Do not pretend to be blind or to understand. Expand your horizons. Search within to grow beyond yourself.,Minor Arcana
Three of Swords,Conscious Love,"Do not give up! Risk being more honest and authentic. Let go of your prejudice, presence, and reserve.  Feel the great relief that will be your when your heart is set free again.",Minor Arcana
Four of Swords,Holistic Thinking,"You’ve got some tough nuts to crack! But you will be able to resolve major contradictions and master complicated issues. Relax both inwardly and outwardly by letting go of negative thoughts. In order for your mind to concentrate on the task at hand, you must relax.  A new dimension and a life beyond your expectations await you.",Minor Arcana
Five of Swords,The Essence of Mind,Use your knowledge fruitfully. Consider the two swords lying on the ground and ask yourself whether you understand the power of your untapped thoughts and can appreciate the joy of overcoming and discarding old doubts.  Beware of empty promises and unfounded speculation. Live fully in the present moment. Reassess what you consider to be good and beautiful. You know you are on the right track when you are happy and have learned to marvel again.,Minor Arcana
Six of Swords,Transportation,Be thorough in all your dealings. Use your mental agility and the intensity of the moment to find out which needs really motivate you and others. Communicate to them your needs.,Minor Arcana
Seven of Swords,Riddles and Solutions,"Reevaluate all that you take for granted. Take a break - for an hour or a whole day. Allow yourself to do something “foolish.” See to your needs os that they may benefit yourself and others in the long term. Say good-bye t aims and ambitions, which no longer serve you. Pay attention to your dreams and your life’s wishes.",Minor Arcana
Eight of Swords,Expanded Consciousness,"Werner Sprenger said, “There are thoughts that you cannot comprehend, unless you change your life.” But the opposite is also true: there are changes in your life that cannot be realized, unless you comprehend your thoughts",Minor Arcana
Nine of Swords,A Wealth of Knowledge,Accept responsibility. You will find spiritual guides (see the angel and the swallow) to help you during the transition to a new horizon. Do not be too deterred by temporary obstacles or difficulties.  Keep your feet firmly on the ground - and reach for the stars!,Minor Arcana
Ten of Swords,The Fruit of the Mind,"Strengthen your mental alertness. Treat thoughts, definitions, and decisions with care. Clear the air and take a deep breath. Beware suspicions and harmful actions. Open up to the flow and life.",Minor Arcana
Queen of Coins,Talent is Calling,"You have at your disposal the strength to pursue happiness and to make your fortune. Your love for yourself and your fellow human beings, as well as your ability to accept your present circumstances, whatever they may be, will allow you to get out of life what is most important. Go into the hills and climb a peak. Organize your everyday routine in such a way that you will move mountains in your daily life. As the saying goes, “First do what is necessary, then what is possible, and suddenly you will find that you can do the impossible” (Fancis of Assisi)",Minor Arcana
King of Coins,Sense and Pleasure,"Reassess your financial situation as well as your talents and your desire for productivity and fulfillment. Take stock and make a survey of what you have accomplished so far and what is still lacking. Care for everything you have planted - in your garden as well as in your life in general. All that is meant to last needs to be reevaluated. Sense and pleasure are the measure of appropriate, personal wealth.",Minor Arcana
Knight of Coins,Sowing and Reaping,"Forgive yourself and others for not being perfect. Even the “garbage” that we all produce can still be used as manure and humus. You cannot change your fellow human beings, but you can accept them as they are and help them to use their talents to the greatest efforts.",Minor Arcana
Page of Coins,"Proof of One’s Talent, Revealing the Invisible","Become an explorer. A simple walk through the town or the countryside can be an adventure full of surprising discoveries! Regard your relationships and encounters, your duties and tasks in the same spirit.",
Ace of Coins,New Values,"How do you see your role in the world/ Do you want to take it easy? Or do you want to carry the weight of the world on your shoulders like the titan Atlas? Your talents become clear in the face of huge challenges, but also in the sum total of small achievements. Recognize the power within yourself. The world is waiting for your special contribution. Conquer the world with creativity and passion!",Minor Arcana
Two of Coins,"New Realities, A Greater Reality","Pay attention to your knees (do not let them become too soft or too rigid).  Your eyes and ears - all of your senses - may be playing up for some time to come. This is because all your perceptions are shifting, changing, and expanding as you attain a new focus in life. What is needed now are new results. They constitute your new task and will prove to be your mainstay.",Minor Arcana
Three of Coins,The Calling,Find the task that requires and focuses all of your energies . Do not only ask what you want. Ask what God and the world want from you. Then your life will be much easier and more rewarding.,Minor Arcana
Four of Coins,Personal Values,"Your most precious talents are those that are the most useful. They will benefit you most by helping you to fulfill your desires and let go of your fears. Sometimes, it is better to clearly draw the line and to emphasize your uniqueness. But sometimes, it is better to improve your communicative abilities and to include as many people as possible in your endeavors.",Minor Arcana
Five of Coins,Compassion,"Refuse to fulfill unfounded demands. But discharge meaningful obligations with a glad heart! Put an end to unnecessary suffering. Make the world a more human, a more livable, comfortable - and valuable place!",Minor Arcana
Six of Coins,Productive Needs,"New ways of realizing your own needs and of understanding the needs of others are called for. Learn to distinguish productive from unproductive needs. The value of that which you own is greatest when as many people as possible benefit from it. In this sense, you own only that which you give away. Focus upon realizing a gain for all parties involved.  This is much better than managing deprivation.",Minor Arcana
Seven of Coins,Balance Sheet,"In your current situation, you are called upon to look for signs and interpret them. Sometimes, even stumbling blocks can give you important clues. Search and find until you can see clearly.  If you can find your own measure, you will grow with your tasks and your tasks will grow with you!",Minor Arcana
Eight of Coins,Mastery,"Reflect on your experiences. The clearer your assets and handicaps become, the easier it will be for you to discover your true purpose in life. Focusing on this will prove to the basis and the secret of your mastery.",Minor Arcana
Nine of Coins,Mature Talents,"Stop the internal dialogue, the nervous chattering of your inner voice. Find inner peace, your “blue hour,” by giving loving attention to your tasks and by joy fully recognizing your results.  Stop parroting the ideas of others or imitating their ever-changing moods. Find the fitting framework for your high-flying plans and your blossoming talents.",Minor Arcana
Ten of Coins,Magical Moments,"Cooperation, exchange, mutual support, compromises are great as long as they are the result of each individual involved following his or her own path. They become unnecessarily limiting if based on sacrificing your independence and your individuality. Touch the moment with the magic wand of individuality and contribute to a communal style of living, in which each and every individual can walk his or her own path in joy. Then the bliss of mutuality will blossom, culminating in a culture of shared intentions.",Minor Arcana
